Posição,Título,Ano,Nota IMDb
1,Uma Batalha Após a Outra,2025,8.4
2,Superman,2025,7.2
3,A Hora do Mal,2025,7.6
4,Quarteto Fantástico: Primeiros Passos,2025,7.1
5,A Longa Marcha - Caminhe ou Morra,2025,7.3
6,Demon Slayer: Kimetsu no Yaiba Castelo Infinito,2025,8.6
7,Extermínio: A Evolução,2025,6.7
8,Coração de Lutador - The Smashing Machine,2025,7.2
9,Invocação do Mal 4: O Último Ritual,2025,6.4
10,Por inteiro,2024,6.3
11,GOAT,2025,5.4
12,Mantis,2025,5.3
13,O Clube do Crime das Quintas-Feiras,2025,6.5
14,Primitive War,2025,5.6
15,A Grande Viagem da Sua Vida,2025,6.2
16,Guerreiras do K-Pop,2025,7.6
17,Olhos de Serpente,1998,6.1
18,O homem no meu porão,2025,4.6
19,F1: O Filme,2025,7.7
20,A Paris Errada,2025,6.1
21,Wicked: Parte II,2025,N/A
22,Pecadores,2025,7.6
23,Ruth & Boaz,2025,5.8
24,A Noiva!,2026,N/A
25,Caçadores do Fim do Mundo,2025,4.5
